T, <E>, <M>, Cv, chi
2.05, -1.70621, 0.892005, 0.838282, 0.607471
2.1, -1.66126, 0.867434, 0.973581, 1.02849
2.25, -1.46269, 0.668471, 1.95867, 36.1138
2.3, -1.35327, 0.355159, 2.1005, 141.809
2, -1.74607, 0.911448, 0.738488, 0.392511
2.15, -1.61048, 0.835764, 1.17212, 1.86635
2.2, -1.54756, 0.784939, 1.44664, 4.84611
2.35, -1.26891, 0.158166, 1.45689, 54.5386
2.025, -1.72638, 0.90218, 0.779085, 0.480479
2.175, -1.57871, 0.811511, 1.27024, 3.04927
2.225, -1.5075, 0.740895, 1.63146, 10.7122
2.375, -1.23489, 0.124055, 1.23401, 34.4444
2.075, -1.68466, 0.881144, 0.896537, 0.744463
2.125, -1.63627, 0.852977, 1.0506, 1.32841
2.275, -1.40553, 0.520371, 2.44466, 124.504
2.325, -1.30273, 0.212828, 1.59666, 86.0182
2.25, -1.46237, 0.670325, 1.96069, 33.964
2.2375, -1.48572, 0.710527, 1.76737, 17.6618
2.2875, -1.37835, 0.435746, 2.30932, 144.232
2.3, -1.35045, 0.341624, 2.07314, 140.972
2.225, -1.50771, 0.741762, 1.65174, 11.1144
2.2625, -1.43627, 0.611184, 2.26256, 74.1104
2.275, -1.40676, 0.528546, 2.40367, 115.718
2.3125, -1.32431, 0.260374, 1.80512, 113.176
